time,cov,total_execs
12.37,35,1
12.47,357,2
12.58,391,3
12.67,395,4
12.77,398,5
12.91,399,7
13.16,454,11
13.35,457,14
13.53,516,17
13.62,521,18
13.71,523,19
13.85,532,21
14.00,540,23
14.15,543,25
14.27,544,26
14.60,546,33
14.73,566,35
14.83,574,36
14.93,644,37
15.14,651,41
15.27,679,43
15.39,681,44
15.55,682,46
15.74,683,49
15.87,686,51
15.98,699,52
16.09,720,53
16.27,802,56
16.58,816,62
16.71,819,64
16.85,821,66
17.12,864,70
17.24,895,71
17.42,914,74
17.54,938,76
17.77,939,80
17.89,940,82
18.03,946,84
18.17,947,86
18.43,956,90
18.70,958,94
18.98,959,98
19.07,965,99
19.17,971,100
19.27,972,101
19.67,1012,109
19.86,1015,112
20.01,1046,114
20.21,1049,117
20.61,1067,125
20.71,1069,126
20.81,1090,127
20.98,1092,130
21.32,1118,137
21.42,1142,138
21.51,1165,139
21.61,1187,140
21.75,1213,142
21.92,1215,145
22.02,1237,146
22.15,1238,148
22.24,1246,149
22.50,1247,153
22.68,1248,156
22.77,1257,157
23.01,1260,161
23.13,1264,162
23.44,1265,167
23.67,1271,171
24.03,1274,178
24.18,1280,180
24.52,1290,187
24.67,1292,189
25.07,1293,198
25.50,1312,207
25.73,1313,211
25.86,1321,213
26.27,1325,221
26.60,1336,226
26.94,1349,232
27.43,1355,241
27.57,1358,243
27.67,1364,244
27.81,1373,246
27.94,1380,248
28.06,1401,250
28.30,1402,254
28.47,1405,257
28.71,1406,261
28.99,1415,266
29.12,1426,267
29.34,1427,270
29.65,1433,275
29.94,1435,280
30.09,1436,282
30.52,1437,290
30.67,1446,292
30.79,1465,293
31.06,1468,298
31.36,1498,304
31.59,1507,308
31.86,1509,312
31.96,1511,313
32.31,1551,318
32.49,1552,321
32.81,1560,326
32.98,1567,329
33.17,1571,331
33.42,1598,335
33.58,1610,337
33.83,1649,341
33.97,1651,343
34.24,1652,349
34.33,1656,350
34.42,1664,351
34.88,1676,363
35.05,1693,366
35.13,1695,367
35.20,1696,368
35.44,1700,372
35.62,1701,375
35.98,1702,381
36.13,1706,384
36.21,1710,385
36.42,1721,389
36.62,1722,392
37.20,1739,405
37.31,1744,406
37.42,1759,407
37.59,1763,409
37.81,1764,413
38.56,1767,429
38.82,1768,433
39.18,1775,440
39.28,1778,441
39.66,1794,448
39.88,1795,453
40.06,1800,456
40.26,1821,459
40.53,1822,465
40.72,1825,468
41.02,1833,474
41.58,1835,487
42.12,1837,498
42.96,1838,514
43.43,1840,523
43.61,1846,526
43.94,1848,532
44.06,1850,534
44.22,1872,536
44.32,1873,537
44.71,1964,544
44.81,1975,545
44.91,1976,546
45.03,1977,548
45.10,1979,549
45.22,1982,551
45.31,1983,552
46.05,1984,565
46.63,1986,578
46.72,1988,579
46.84,1991,580
47.00,2000,582
47.08,2003,583
47.45,2024,589
47.65,2025,592
48.02,2026,600
48.21,2028,603
48.34,2031,605
48.61,2033,610
48.85,2037,614
49.00,2060,616
49.17,2066,619
49.30,2067,621
49.44,2069,623
49.94,2070,633
50.26,2071,639
50.40,2079,641
50.69,2104,646
50.86,2105,649
51.75,2106,668
51.83,2124,669
52.32,2128,679
52.60,2129,684
53.12,2130,696
53.22,2134,697
53.43,2135,701
53.52,2136,702
54.55,2140,728
54.75,2141,731
54.86,2145,732
54.98,2147,733
55.68,2161,746
55.93,2163,751
56.21,2165,756
56.36,2167,758
57.44,2167,785
57.65,2169,789
57.80,2197,791
57.92,2206,793
58.36,2208,803
58.45,2209,804
59.37,2216,823
60.04,2217,838
60.29,2224,843
60.59,2226,849
60.84,2237,854
60.96,2239,856
61.41,2240,865
61.69,2263,869
61.79,2265,870
62.27,2266,881
62.46,2268,884
62.59,2269,886
62.69,2270,887
62.86,2274,890
63.11,2275,895
63.29,2276,898
63.61,2281,903
63.75,2282,904
64.31,2286,915
64.94,2293,930
65.11,2294,933
65.56,2296,942
65.82,2297,948
66.01,2299,952
66.27,2303,957
66.59,2305,963
67.03,2307,973
67.96,2308,992
68.20,2311,996
68.31,2313,998
68.44,2324,1000
68.59,2348,1002
68.68,2351,1003
68.87,2362,1006
69.00,2367,1008
69.56,2369,1020
69.92,2372,1027
70.06,2373,1029
70.23,2374,1032
70.75,2379,1043
70.85,2381,1044
71.49,2385,1057
71.85,2387,1065
72.31,2389,1074
72.72,2390,1082
72.86,2391,1084
73.29,2398,1092
73.58,2411,1097
73.84,2425,1102
74.01,2435,1105
74.12,2436,1106
74.23,2437,1107
74.81,2448,1119
75.29,2451,1129
75.38,2453,1130
75.96,2454,1142
76.54,2456,1152
76.92,2461,1159
77.96,2461,1181
78.06,2467,1182
78.31,2468,1186
78.57,2483,1190
78.73,2496,1192
78.99,2501,1196
79.13,2505,1198
79.33,2507,1201
79.44,2511,1202
79.93,2512,1212
80.05,2514,1214
80.20,2515,1216
80.40,2526,1219
80.59,2528,1222
81.66,2528,1247
82.26,2529,1261
82.50,2532,1265
82.62,2553,1266
82.81,2555,1269
83.15,2561,1276
83.43,2562,1282
83.71,2563,1288
84.28,2564,1300
84.57,2565,1305
84.77,2567,1308
85.26,2572,1318
85.36,2575,1319
85.89,2577,1330
86.93,2577,1354
87.05,2583,1356
87.21,2585,1359
87.56,2588,1366
87.85,2591,1371
88.29,2648,1381
88.38,2649,1382
88.52,2650,1384
88.68,2654,1386
88.80,2657,1387
89.86,2657,1410
90.93,2657,1434
91.03,2658,1435
91.36,2661,1441
91.68,2664,1447
91.89,2673,1451
92.20,2704,1457
92.56,2705,1464
92.66,2709,1465
93.72,2709,1488
94.30,2713,1502
95.36,2713,1525
95.93,2721,1537
96.15,2734,1541
96.36,2735,1545
96.90,2736,1556
97.65,2743,1573
97.99,2746,1579
98.15,2750,1581
98.31,2795,1583
98.63,2811,1589
99.04,2812,1598
99.22,2813,1601
99.77,2816,1614
99.87,2817,1616
